Update,Time,Sportsbook,Type,Pittsburgh Steelers,Indianapolis Colts
0,2023-12-15 11:51:27-05:00,draftkings,h2h,2.1,1.77
0,2023-12-15 11:52:20-05:00,fanduel,h2h,2.02,1.83
0,2023-12-15 11:51:31-05:00,mybookieag,h2h,2.05,1.8
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,2.1,1.77
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,2.0,1.8
0,2023-12-15 11:51:53-05:00,superbook,h2h,2.05,1.8
0,2023-12-15 11:51:32-05:00,betonlineag,h2h,2.05,1.8
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,2.05,1.8
0,2023-12-15 11:51:44-05:00,betus,h2h,2.05,1.8
0,2023-12-15 11:52:08-05:00,bovada,h2h,2.05,1.8
0,2023-12-15 11:51:27-05:00,pointsbetus,h2h,2.0,1.83
0,2023-12-15 11:52:22-05:00,betrivers,h2h,1.97,1.83
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,1.97,1.83
0,2023-12-15 11:51:28-05:00,betparx,h2h,1.97,1.83
0,2023-12-15 11:51:27-05:00,fliff,h2h,1.9500000000000002,1.77
0,2023-12-15 11:52:16-05:00,lowvig,h2h,2.05,1.8
0,2023-12-15 11:51:39-05:00,windcreek,h2h,2.05,1.8
0,2023-12-15 11:51:45-05:00,espnbet,h2h,2.0,1.83
0,2023-12-15 11:52:20-05:00,betmgm,h2h,2.05,1.8
0,2023-12-15 11:51:31-05:00,wynnbet,h2h,2.08,1.8
0,2023-12-15 11:52:19-05:00,hardrockbet,h2h,2.05,1.8
