Update,Time,Sportsbook,Type,Denver Broncos,Detroit Lions
0,2023-12-12 11:44:09-05:00,draftkings,h2h,1.43,2.9
0,2023-12-12 11:44:33-05:00,fanduel,h2h,1.43,2.9
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.43,2.85
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.4,2.88
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.43,2.92
0,2023-12-12 11:44:46-05:00,superbook,h2h,1.42,2.9
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.44,2.95
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.43,2.95
0,2023-12-12 11:44:41-05:00,betus,h2h,1.43,2.9
0,2023-12-12 11:43:21-05:00,bovada,h2h,1.43,2.95
0,2023-12-12 11:44:48-05:00,betrivers,h2h,1.43,2.88
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.43,2.88
0,2023-12-12 11:44:30-05:00,betparx,h2h,1.43,2.88
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.42,2.9
0,2023-12-12 11:43:27-05:00,lowvig,h2h,1.44,2.95
0,2023-12-12 11:43:37-05:00,windcreek,h2h,1.43,2.9
0,2023-12-12 11:44:46-05:00,espnbet,h2h,1.44,2.9
0,2023-12-12 11:44:09-05:00,fliff,h2h,1.4100000000000001,2.75
0,2023-12-12 11:43:55-05:00,betmgm,h2h,1.44,2.8
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.46,2.85
1,2023-12-12 11:44:09-05:00,draftkings,h2h,1.43,2.9
1,2023-12-12 11:44:33-05:00,fanduel,h2h,1.43,2.9
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.43,2.85
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.4,2.88
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.43,2.92
1,2023-12-12 11:44:46-05:00,superbook,h2h,1.42,2.9
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.44,2.95
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.43,2.95
1,2023-12-12 11:44:41-05:00,betus,h2h,1.43,2.9
1,2023-12-12 11:43:21-05:00,bovada,h2h,1.43,2.95
1,2023-12-12 11:44:48-05:00,betrivers,h2h,1.43,2.88
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.43,2.88
1,2023-12-12 11:44:30-05:00,betparx,h2h,1.43,2.88
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.42,2.9
1,2023-12-12 11:43:27-05:00,lowvig,h2h,1.44,2.95
1,2023-12-12 11:43:37-05:00,windcreek,h2h,1.43,2.9
1,2023-12-12 11:44:46-05:00,espnbet,h2h,1.44,2.9
1,2023-12-12 11:44:09-05:00,fliff,h2h,1.4100000000000001,2.75
1,2023-12-12 11:43:55-05:00,betmgm,h2h,1.44,2.8
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.46,2.85
2,2023-12-12 11:44:09-05:00,draftkings,h2h,1.43,2.9
2,2023-12-12 11:44:33-05:00,fanduel,h2h,1.43,2.9
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.43,2.85
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.4,2.88
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.43,2.92
2,2023-12-12 11:44:46-05:00,superbook,h2h,1.42,2.9
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.44,2.95
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.43,2.95
2,2023-12-12 11:44:41-05:00,betus,h2h,1.43,2.9
2,2023-12-12 11:43:21-05:00,bovada,h2h,1.43,2.95
2,2023-12-12 11:44:48-05:00,betrivers,h2h,1.43,2.88
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.43,2.88
2,2023-12-12 11:44:30-05:00,betparx,h2h,1.43,2.88
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.42,2.9
2,2023-12-12 11:43:27-05:00,lowvig,h2h,1.44,2.95
2,2023-12-12 11:43:37-05:00,windcreek,h2h,1.43,2.9
2,2023-12-12 11:44:46-05:00,espnbet,h2h,1.44,2.9
2,2023-12-12 11:44:09-05:00,fliff,h2h,1.4100000000000001,2.75
2,2023-12-12 11:43:55-05:00,betmgm,h2h,1.44,2.8
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.46,2.85
