Update,Time,Sportsbook,Type,Chicago Bears,Cleveland Browns
0,2023-12-12 11:44:09-05:00,draftkings,h2h,1.57,2.45
0,2023-12-12 11:44:33-05:00,fanduel,h2h,1.58,2.44
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.5899999999999999,2.45
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.57,2.4
0,2023-12-12 11:44:46-05:00,superbook,h2h,1.56,2.5
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.5899999999999999,2.43
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.57,2.55
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.5899999999999999,2.45
0,2023-12-12 11:44:41-05:00,betus,h2h,1.5899999999999999,2.48
0,2023-12-12 11:43:21-05:00,bovada,h2h,1.57,2.5
0,2023-12-12 11:44:48-05:00,betrivers,h2h,1.56,2.45
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.56,2.45
0,2023-12-12 11:44:30-05:00,betparx,h2h,1.56,2.45
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.56,2.5
0,2023-12-12 11:43:27-05:00,lowvig,h2h,1.57,2.55
0,2023-12-12 11:43:37-05:00,windcreek,h2h,1.57,2.45
0,2023-12-12 11:44:46-05:00,espnbet,h2h,1.5899999999999999,2.45
0,2023-12-12 11:43:55-05:00,betmgm,h2h,1.57,2.45
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.57,2.5
0,2023-12-12 11:44:09-05:00,fliff,h2h,1.54,2.35
1,2023-12-12 11:44:09-05:00,draftkings,h2h,1.57,2.45
1,2023-12-12 11:44:33-05:00,fanduel,h2h,1.58,2.44
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.5899999999999999,2.45
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.57,2.4
1,2023-12-12 11:44:46-05:00,superbook,h2h,1.56,2.5
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.5899999999999999,2.43
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.57,2.55
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.5899999999999999,2.45
1,2023-12-12 11:44:41-05:00,betus,h2h,1.5899999999999999,2.48
1,2023-12-12 11:43:21-05:00,bovada,h2h,1.57,2.5
1,2023-12-12 11:44:48-05:00,betrivers,h2h,1.56,2.45
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.56,2.45
1,2023-12-12 11:44:30-05:00,betparx,h2h,1.56,2.45
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.56,2.5
1,2023-12-12 11:43:27-05:00,lowvig,h2h,1.57,2.55
1,2023-12-12 11:43:37-05:00,windcreek,h2h,1.57,2.45
1,2023-12-12 11:44:46-05:00,espnbet,h2h,1.5899999999999999,2.45
1,2023-12-12 11:43:55-05:00,betmgm,h2h,1.57,2.45
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.57,2.5
1,2023-12-12 11:44:09-05:00,fliff,h2h,1.54,2.35
2,2023-12-12 11:44:09-05:00,draftkings,h2h,1.57,2.45
2,2023-12-12 11:44:33-05:00,fanduel,h2h,1.58,2.44
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.5899999999999999,2.45
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.57,2.4
2,2023-12-12 11:44:46-05:00,superbook,h2h,1.56,2.5
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.5899999999999999,2.43
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.57,2.55
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.5899999999999999,2.45
2,2023-12-12 11:44:41-05:00,betus,h2h,1.5899999999999999,2.48
2,2023-12-12 11:43:21-05:00,bovada,h2h,1.57,2.5
2,2023-12-12 11:44:48-05:00,betrivers,h2h,1.56,2.45
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.56,2.45
2,2023-12-12 11:44:30-05:00,betparx,h2h,1.56,2.45
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.56,2.5
2,2023-12-12 11:43:27-05:00,lowvig,h2h,1.57,2.55
2,2023-12-12 11:43:37-05:00,windcreek,h2h,1.57,2.45
2,2023-12-12 11:44:46-05:00,espnbet,h2h,1.5899999999999999,2.45
2,2023-12-12 11:43:55-05:00,betmgm,h2h,1.57,2.45
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.57,2.5
2,2023-12-12 11:44:09-05:00,fliff,h2h,1.54,2.35
