Update,Time,Sportsbook,Type,New York Giants,New Orleans Saints
0,2023-12-12 11:44:09-05:00,draftkings,h2h,3.15,1.38
0,2023-12-12 11:44:33-05:00,fanduel,h2h,2.94,1.43
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.9,1.42
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.9,1.4
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,3.05,1.4
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,3.1,1.4
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,3.0,1.42
0,2023-12-12 11:44:41-05:00,betus,h2h,3.05,1.4
0,2023-12-12 11:43:21-05:00,bovada,h2h,3.1,1.4
0,2023-12-12 11:44:48-05:00,betrivers,h2h,3.0,1.4
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,3.0,1.4
0,2023-12-12 11:44:30-05:00,betparx,h2h,3.0,1.4
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,3.1,1.38
0,2023-12-12 11:43:27-05:00,lowvig,h2h,3.1,1.4
0,2023-12-12 11:43:37-05:00,windcreek,h2h,3.05,1.3900000000000001
0,2023-12-12 11:44:46-05:00,espnbet,h2h,3.1,1.4
0,2023-12-12 11:43:55-05:00,betmgm,h2h,3.0,1.4
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,3.03,1.42
0,2023-12-12 11:44:09-05:00,fliff,h2h,2.85,1.38
1,2023-12-12 11:44:09-05:00,draftkings,h2h,3.15,1.38
1,2023-12-12 11:44:33-05:00,fanduel,h2h,2.94,1.43
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.9,1.42
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.9,1.4
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,3.05,1.4
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,3.1,1.4
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,3.0,1.42
1,2023-12-12 11:44:41-05:00,betus,h2h,3.05,1.4
1,2023-12-12 11:43:21-05:00,bovada,h2h,3.1,1.4
1,2023-12-12 11:44:48-05:00,betrivers,h2h,3.0,1.4
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,3.0,1.4
1,2023-12-12 11:44:30-05:00,betparx,h2h,3.0,1.4
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,3.1,1.38
1,2023-12-12 11:43:27-05:00,lowvig,h2h,3.1,1.4
1,2023-12-12 11:43:37-05:00,windcreek,h2h,3.05,1.3900000000000001
1,2023-12-12 11:44:46-05:00,espnbet,h2h,3.1,1.4
1,2023-12-12 11:43:55-05:00,betmgm,h2h,3.0,1.4
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,3.03,1.42
1,2023-12-12 11:44:09-05:00,fliff,h2h,2.85,1.38
2,2023-12-12 11:44:09-05:00,draftkings,h2h,3.15,1.38
2,2023-12-12 11:44:33-05:00,fanduel,h2h,2.94,1.43
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.9,1.42
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.9,1.4
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,3.05,1.4
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,3.1,1.4
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,3.0,1.42
2,2023-12-12 11:44:41-05:00,betus,h2h,3.05,1.4
2,2023-12-12 11:43:21-05:00,bovada,h2h,3.1,1.4
2,2023-12-12 11:44:48-05:00,betrivers,h2h,3.0,1.4
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,3.0,1.4
2,2023-12-12 11:44:30-05:00,betparx,h2h,3.0,1.4
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,3.1,1.38
2,2023-12-12 11:43:27-05:00,lowvig,h2h,3.1,1.4
2,2023-12-12 11:43:37-05:00,windcreek,h2h,3.05,1.3900000000000001
2,2023-12-12 11:44:46-05:00,espnbet,h2h,3.1,1.4
2,2023-12-12 11:43:55-05:00,betmgm,h2h,3.0,1.4
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,3.03,1.42
2,2023-12-12 11:44:09-05:00,fliff,h2h,2.85,1.38
