Update,Time,Sportsbook,Type,New York Jets,Miami Dolphins
0,2023-12-12 11:44:09-05:00,draftkings,h2h,4.7,1.21
0,2023-12-12 11:44:33-05:00,fanduel,h2h,4.3,1.24
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,4.5,1.21
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,4.3,1.22
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,4.35,1.23
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,4.2,1.25
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,4.25,1.25
0,2023-12-12 11:44:41-05:00,betus,h2h,4.35,1.24
0,2023-12-12 11:43:21-05:00,bovada,h2h,4.1,1.24
0,2023-12-12 11:44:48-05:00,betrivers,h2h,4.35,1.22
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,4.35,1.22
0,2023-12-12 11:44:30-05:00,betparx,h2h,4.35,1.22
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,4.1,1.25
0,2023-12-12 11:43:37-05:00,windcreek,h2h,4.25,1.23
0,2023-12-12 11:44:46-05:00,espnbet,h2h,4.6,1.22
0,2023-12-12 11:43:55-05:00,betmgm,h2h,4.5,1.22
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,4.65,1.22
0,2023-12-12 11:44:09-05:00,fliff,h2h,4.2,1.2
0,2023-12-12 11:43:27-05:00,lowvig,h2h,4.2,1.25
1,2023-12-12 11:44:09-05:00,draftkings,h2h,4.7,1.21
1,2023-12-12 11:44:33-05:00,fanduel,h2h,4.3,1.24
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,4.5,1.21
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,4.3,1.22
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,4.35,1.23
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,4.2,1.25
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,4.25,1.25
1,2023-12-12 11:44:41-05:00,betus,h2h,4.35,1.24
1,2023-12-12 11:43:21-05:00,bovada,h2h,4.1,1.24
1,2023-12-12 11:44:48-05:00,betrivers,h2h,4.35,1.22
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,4.35,1.22
1,2023-12-12 11:44:30-05:00,betparx,h2h,4.35,1.22
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,4.1,1.25
1,2023-12-12 11:43:37-05:00,windcreek,h2h,4.25,1.23
1,2023-12-12 11:44:46-05:00,espnbet,h2h,4.6,1.22
1,2023-12-12 11:43:55-05:00,betmgm,h2h,4.5,1.22
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,4.65,1.22
1,2023-12-12 11:44:09-05:00,fliff,h2h,4.2,1.2
1,2023-12-12 11:43:27-05:00,lowvig,h2h,4.2,1.25
2,2023-12-12 11:44:09-05:00,draftkings,h2h,4.7,1.21
2,2023-12-12 11:44:33-05:00,fanduel,h2h,4.3,1.24
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,4.5,1.21
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,4.3,1.22
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,4.35,1.23
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,4.2,1.25
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,4.25,1.25
2,2023-12-12 11:44:41-05:00,betus,h2h,4.35,1.24
2,2023-12-12 11:43:21-05:00,bovada,h2h,4.1,1.24
2,2023-12-12 11:44:48-05:00,betrivers,h2h,4.35,1.22
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,4.35,1.22
2,2023-12-12 11:44:30-05:00,betparx,h2h,4.35,1.22
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,4.1,1.25
2,2023-12-12 11:43:37-05:00,windcreek,h2h,4.25,1.23
2,2023-12-12 11:44:46-05:00,espnbet,h2h,4.6,1.22
2,2023-12-12 11:43:55-05:00,betmgm,h2h,4.5,1.22
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,4.65,1.22
2,2023-12-12 11:44:09-05:00,fliff,h2h,4.2,1.2
2,2023-12-12 11:43:27-05:00,lowvig,h2h,4.2,1.25
