Update,Time,Sportsbook,Type,Houston Texans,Tennessee Titans
0,2023-12-15 11:51:27-05:00,draftkings,h2h,1.6,2.4
0,2023-12-15 11:52:20-05:00,fanduel,h2h,1.58,2.44
0,2023-12-15 11:51:31-05:00,mybookieag,h2h,1.6099999999999999,2.45
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,1.62,2.35
0,2023-12-15 11:51:53-05:00,superbook,h2h,1.5899999999999999,2.45
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,1.6099999999999999,2.4
0,2023-12-15 11:51:32-05:00,betonlineag,h2h,1.5899999999999999,2.5
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,1.62,2.4
0,2023-12-15 11:51:44-05:00,betus,h2h,1.5899999999999999,2.48
0,2023-12-15 11:52:08-05:00,bovada,h2h,1.6099999999999999,2.4
0,2023-12-15 11:52:22-05:00,betrivers,h2h,1.57,2.4
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,1.57,2.4
0,2023-12-15 11:51:28-05:00,betparx,h2h,1.57,2.4
0,2023-12-15 11:51:27-05:00,pointsbetus,h2h,1.62,2.3
0,2023-12-15 11:52:16-05:00,lowvig,h2h,1.5899999999999999,2.5
0,2023-12-15 11:51:39-05:00,windcreek,h2h,1.6099999999999999,2.4
0,2023-12-15 11:51:45-05:00,espnbet,h2h,1.6099999999999999,2.4
0,2023-12-15 11:52:20-05:00,betmgm,h2h,1.6099999999999999,2.4
0,2023-12-15 11:52:19-05:00,hardrockbet,h2h,1.6099999999999999,2.35
0,2023-12-15 11:51:31-05:00,wynnbet,h2h,1.6099999999999999,2.42
0,2023-12-15 11:51:27-05:00,fliff,h2h,1.56,2.3
