Update,Time,Sportsbook,Type,Tampa Bay Buccaneers,Green Bay Packers
0,2023-12-14 16:58:35-05:00,draftkings,h2h,2.5,1.56
0,2023-12-14 16:58:04-05:00,fanduel,h2h,2.54,1.54
0,2023-12-14 16:58:38-05:00,mybookieag,h2h,2.5,1.57
0,2023-12-14 16:58:37-05:00,sisportsbook,h2h,2.4,1.57
0,2023-12-14 16:58:00-05:00,superbook,h2h,2.45,1.5899999999999999
0,2023-12-14 16:57:06-05:00,williamhill_us,h2h,2.5,1.56
0,2023-12-14 16:57:44-05:00,betonlineag,h2h,2.5300000000000002,1.58
0,2023-12-14 16:57:28-05:00,tipico_us,h2h,2.45,1.5899999999999999
0,2023-12-14 16:57:21-05:00,betus,h2h,2.55,1.56
0,2023-12-14 16:58:01-05:00,bovada,h2h,2.55,1.56
0,2023-12-14 16:57:12-05:00,hardrockbet,h2h,2.45,1.57
0,2023-12-14 16:57:34-05:00,betrivers,h2h,2.45,1.56
0,2023-12-14 16:58:07-05:00,unibet_us,h2h,2.45,1.56
0,2023-12-14 16:57:57-05:00,betparx,h2h,2.45,1.56
0,2023-12-14 16:57:21-05:00,pointsbetus,h2h,2.5,1.56
0,2023-12-14 16:57:11-05:00,windcreek,h2h,2.45,1.57
0,2023-12-14 16:57:33-05:00,espnbet,h2h,2.5,1.57
0,2023-12-14 16:57:50-05:00,betmgm,h2h,2.45,1.57
0,2023-12-14 16:57:58-05:00,lowvig,h2h,2.5300000000000002,1.58
0,2023-12-14 16:57:58-05:00,wynnbet,h2h,2.45,1.5899999999999999
0,2023-12-14 16:57:41-05:00,fliff,h2h,2.35,1.53
1,2023-12-14 17:28:31-05:00,draftkings,h2h,2.5,1.56
1,2023-12-14 17:27:48-05:00,fanduel,h2h,2.54,1.54
1,2023-12-14 17:29:04-05:00,mybookieag,h2h,2.5,1.57
1,2023-12-14 17:28:53-05:00,sisportsbook,h2h,2.4,1.57
1,2023-12-14 17:28:42-05:00,superbook,h2h,2.45,1.5899999999999999
1,2023-12-14 17:28:08-05:00,williamhill_us,h2h,2.5,1.56
1,2023-12-14 17:29:03-05:00,betonlineag,h2h,2.5300000000000002,1.58
1,2023-12-14 17:27:52-05:00,tipico_us,h2h,2.45,1.5899999999999999
1,2023-12-14 17:28:16-05:00,betus,h2h,2.55,1.56
1,2023-12-14 17:28:40-05:00,bovada,h2h,2.55,1.56
1,2023-12-14 17:28:07-05:00,hardrockbet,h2h,2.45,1.57
1,2023-12-14 17:28:33-05:00,betrivers,h2h,2.45,1.56
1,2023-12-14 17:28:40-05:00,unibet_us,h2h,2.45,1.56
1,2023-12-14 17:27:56-05:00,betparx,h2h,2.45,1.56
1,2023-12-14 17:28:11-05:00,pointsbetus,h2h,2.5,1.56
1,2023-12-14 17:27:59-05:00,windcreek,h2h,2.45,1.57
1,2023-12-14 17:28:09-05:00,espnbet,h2h,2.5,1.57
1,2023-12-14 17:29:03-05:00,betmgm,h2h,2.45,1.57
1,2023-12-14 17:28:44-05:00,lowvig,h2h,2.5300000000000002,1.58
1,2023-12-14 17:28:38-05:00,wynnbet,h2h,2.45,1.5899999999999999
1,2023-12-14 17:28:26-05:00,fliff,h2h,2.35,1.53
