Update,Time,Sportsbook,Type,San Francisco 49ers,Arizona Cardinals
0,2023-12-12 11:44:09-05:00,draftkings,h2h,1.1,7.75
0,2023-12-12 11:44:33-05:00,fanduel,h2h,1.1,7.6
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.11,7.0
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.11,6.8
0,2023-12-12 11:44:46-05:00,superbook,h2h,1.08,8.0
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.1,7.5
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.1,7.6
0,2023-12-12 11:44:41-05:00,betus,h2h,1.1,7.5
0,2023-12-12 11:43:21-05:00,bovada,h2h,1.1,7.25
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.12,6.75
0,2023-12-12 11:44:30-05:00,betparx,h2h,1.11,7.0
0,2023-12-12 11:44:48-05:00,betrivers,h2h,1.11,7.0
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.11,7.0
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.1400000000000001,5.75
0,2023-12-12 11:43:27-05:00,lowvig,h2h,1.1,7.6
0,2023-12-12 11:43:37-05:00,windcreek,h2h,1.09,7.55
0,2023-12-12 11:44:46-05:00,espnbet,h2h,1.11,7.0
0,2023-12-12 11:43:55-05:00,betmgm,h2h,1.11,6.75
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.1,7.75
0,2023-12-12 11:44:09-05:00,fliff,h2h,1.08,6.8
1,2023-12-12 11:44:09-05:00,draftkings,h2h,1.1,7.75
1,2023-12-12 11:44:33-05:00,fanduel,h2h,1.1,7.6
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.11,7.0
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.11,6.8
1,2023-12-12 11:44:46-05:00,superbook,h2h,1.08,8.0
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.1,7.5
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.1,7.6
1,2023-12-12 11:44:41-05:00,betus,h2h,1.1,7.5
1,2023-12-12 11:43:21-05:00,bovada,h2h,1.1,7.25
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.12,6.75
1,2023-12-12 11:44:30-05:00,betparx,h2h,1.11,7.0
1,2023-12-12 11:44:48-05:00,betrivers,h2h,1.11,7.0
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.11,7.0
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.1400000000000001,5.75
1,2023-12-12 11:43:27-05:00,lowvig,h2h,1.1,7.6
1,2023-12-12 11:43:37-05:00,windcreek,h2h,1.09,7.55
1,2023-12-12 11:44:46-05:00,espnbet,h2h,1.11,7.0
1,2023-12-12 11:43:55-05:00,betmgm,h2h,1.11,6.75
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.1,7.75
1,2023-12-12 11:44:09-05:00,fliff,h2h,1.08,6.8
2,2023-12-12 11:44:09-05:00,draftkings,h2h,1.1,7.75
2,2023-12-12 11:44:33-05:00,fanduel,h2h,1.1,7.6
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,1.11,7.0
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,1.11,6.8
2,2023-12-12 11:44:46-05:00,superbook,h2h,1.08,8.0
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,1.1,7.5
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,1.1,7.6
2,2023-12-12 11:44:41-05:00,betus,h2h,1.1,7.5
2,2023-12-12 11:43:21-05:00,bovada,h2h,1.1,7.25
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,1.12,6.75
2,2023-12-12 11:44:30-05:00,betparx,h2h,1.11,7.0
2,2023-12-12 11:44:48-05:00,betrivers,h2h,1.11,7.0
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,1.11,7.0
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,1.1400000000000001,5.75
2,2023-12-12 11:43:27-05:00,lowvig,h2h,1.1,7.6
2,2023-12-12 11:43:37-05:00,windcreek,h2h,1.09,7.55
2,2023-12-12 11:44:46-05:00,espnbet,h2h,1.11,7.0
2,2023-12-12 11:43:55-05:00,betmgm,h2h,1.11,6.75
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,1.1,7.75
2,2023-12-12 11:44:09-05:00,fliff,h2h,1.08,6.8
