Update,Time,Sportsbook,Type,Washington Commanders,Los Angeles Rams
0,2023-12-12 11:44:33-05:00,fanduel,h2h,3.5,1.32
0,2023-12-12 11:44:09-05:00,draftkings,h2h,3.5,1.32
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,3.3,1.34
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,3.45,1.3
0,2023-12-12 11:44:46-05:00,superbook,h2h,3.4,1.33
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,3.4,1.33
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,3.5,1.33
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,3.5,1.33
0,2023-12-12 11:44:41-05:00,betus,h2h,3.5300000000000002,1.33
0,2023-12-12 11:43:21-05:00,bovada,h2h,3.55,1.32
0,2023-12-12 11:44:30-05:00,betparx,h2h,3.4,1.33
0,2023-12-12 11:44:48-05:00,betrivers,h2h,3.4,1.33
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,3.4,1.33
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,3.5,1.31
0,2023-12-12 11:43:27-05:00,lowvig,h2h,3.5,1.33
0,2023-12-12 11:43:37-05:00,windcreek,h2h,3.45,1.32
0,2023-12-12 11:44:46-05:00,espnbet,h2h,3.4,1.34
0,2023-12-12 11:43:55-05:00,betmgm,h2h,3.4,1.33
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,3.5,1.33
0,2023-12-12 11:44:09-05:00,fliff,h2h,3.3,1.29
1,2023-12-12 11:44:33-05:00,fanduel,h2h,3.5,1.32
1,2023-12-12 11:44:09-05:00,draftkings,h2h,3.5,1.32
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,3.3,1.34
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,3.45,1.3
1,2023-12-12 11:44:46-05:00,superbook,h2h,3.4,1.33
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,3.4,1.33
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,3.5,1.33
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,3.5,1.33
1,2023-12-12 11:44:41-05:00,betus,h2h,3.5300000000000002,1.33
1,2023-12-12 11:43:21-05:00,bovada,h2h,3.55,1.32
1,2023-12-12 11:44:30-05:00,betparx,h2h,3.4,1.33
1,2023-12-12 11:44:48-05:00,betrivers,h2h,3.4,1.33
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,3.4,1.33
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,3.5,1.31
1,2023-12-12 11:43:27-05:00,lowvig,h2h,3.5,1.33
1,2023-12-12 11:43:37-05:00,windcreek,h2h,3.45,1.32
1,2023-12-12 11:44:46-05:00,espnbet,h2h,3.4,1.34
1,2023-12-12 11:43:55-05:00,betmgm,h2h,3.4,1.33
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,3.5,1.33
1,2023-12-12 11:44:09-05:00,fliff,h2h,3.3,1.29
2,2023-12-12 11:44:33-05:00,fanduel,h2h,3.5,1.32
2,2023-12-12 11:44:09-05:00,draftkings,h2h,3.5,1.32
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,3.3,1.34
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,3.45,1.3
2,2023-12-12 11:44:46-05:00,superbook,h2h,3.4,1.33
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,3.4,1.33
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,3.5,1.33
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,3.5,1.33
2,2023-12-12 11:44:41-05:00,betus,h2h,3.5300000000000002,1.33
2,2023-12-12 11:43:21-05:00,bovada,h2h,3.55,1.32
2,2023-12-12 11:44:30-05:00,betparx,h2h,3.4,1.33
2,2023-12-12 11:44:48-05:00,betrivers,h2h,3.4,1.33
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,3.4,1.33
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,3.5,1.31
2,2023-12-12 11:43:27-05:00,lowvig,h2h,3.5,1.33
2,2023-12-12 11:43:37-05:00,windcreek,h2h,3.45,1.32
2,2023-12-12 11:44:46-05:00,espnbet,h2h,3.4,1.34
2,2023-12-12 11:43:55-05:00,betmgm,h2h,3.4,1.33
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,3.5,1.33
2,2023-12-12 11:44:09-05:00,fliff,h2h,3.3,1.29
