Update,Time,Sportsbook,Type,Baltimore Ravens,Jacksonville Jaguars
0,2023-12-12 11:44:33-05:00,fanduel,h2h,2.46,1.57
0,2023-12-12 11:44:09-05:00,draftkings,h2h,2.45,1.57
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.5,1.57
0,2023-12-12 11:44:46-05:00,superbook,h2h,2.55,1.54
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.5,1.53
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.5,1.56
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.55,1.56
0,2023-12-12 11:44:41-05:00,betus,h2h,2.55,1.56
0,2023-12-12 11:43:21-05:00,bovada,h2h,2.6,1.54
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.63,1.55
0,2023-12-12 11:44:30-05:00,betparx,h2h,2.5,1.55
0,2023-12-12 11:44:48-05:00,betrivers,h2h,2.5,1.55
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.5,1.55
0,2023-12-12 11:43:27-05:00,lowvig,h2h,2.63,1.55
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.5,1.56
0,2023-12-12 11:43:37-05:00,windcreek,h2h,2.55,1.54
0,2023-12-12 11:44:46-05:00,espnbet,h2h,2.6,1.53
0,2023-12-12 11:43:55-05:00,betmgm,h2h,2.5,1.54
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.5300000000000002,1.56
0,2023-12-12 11:44:09-05:00,fliff,h2h,2.4,1.51
1,2023-12-12 11:44:33-05:00,fanduel,h2h,2.46,1.57
1,2023-12-12 11:44:09-05:00,draftkings,h2h,2.45,1.57
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.5,1.57
1,2023-12-12 11:44:46-05:00,superbook,h2h,2.55,1.54
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.5,1.53
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.5,1.56
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.55,1.56
1,2023-12-12 11:44:41-05:00,betus,h2h,2.55,1.56
1,2023-12-12 11:43:21-05:00,bovada,h2h,2.6,1.54
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.63,1.55
1,2023-12-12 11:44:30-05:00,betparx,h2h,2.5,1.55
1,2023-12-12 11:44:48-05:00,betrivers,h2h,2.5,1.55
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.5,1.55
1,2023-12-12 11:43:27-05:00,lowvig,h2h,2.63,1.55
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.5,1.56
1,2023-12-12 11:43:37-05:00,windcreek,h2h,2.55,1.54
1,2023-12-12 11:44:46-05:00,espnbet,h2h,2.6,1.53
1,2023-12-12 11:43:55-05:00,betmgm,h2h,2.5,1.54
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.5300000000000002,1.56
1,2023-12-12 11:44:09-05:00,fliff,h2h,2.4,1.51
2,2023-12-12 11:44:33-05:00,fanduel,h2h,2.46,1.57
2,2023-12-12 11:44:09-05:00,draftkings,h2h,2.45,1.57
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.5,1.57
2,2023-12-12 11:44:46-05:00,superbook,h2h,2.55,1.54
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.5,1.53
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.5,1.56
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.55,1.56
2,2023-12-12 11:44:41-05:00,betus,h2h,2.55,1.56
2,2023-12-12 11:43:21-05:00,bovada,h2h,2.6,1.54
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.63,1.55
2,2023-12-12 11:44:30-05:00,betparx,h2h,2.5,1.55
2,2023-12-12 11:44:48-05:00,betrivers,h2h,2.5,1.55
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.5,1.55
2,2023-12-12 11:43:27-05:00,lowvig,h2h,2.63,1.55
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.5,1.56
2,2023-12-12 11:43:37-05:00,windcreek,h2h,2.55,1.54
2,2023-12-12 11:44:46-05:00,espnbet,h2h,2.6,1.53
2,2023-12-12 11:43:55-05:00,betmgm,h2h,2.5,1.54
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.5300000000000002,1.56
2,2023-12-12 11:44:09-05:00,fliff,h2h,2.4,1.51
