Update,Time,Sportsbook,Type,Philadelphia Eagles,Seattle Seahawks
0,2023-12-12 11:44:33-05:00,fanduel,h2h,2.64,1.51
0,2023-12-12 11:44:09-05:00,draftkings,h2h,2.8,1.46
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.6,1.53
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.7,1.47
0,2023-12-12 11:44:46-05:00,superbook,h2h,2.7,1.5
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.7,1.49
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.7,1.51
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.75,1.49
0,2023-12-12 11:44:41-05:00,betus,h2h,2.7,1.5
0,2023-12-12 11:43:21-05:00,bovada,h2h,2.8,1.45
0,2023-12-12 11:44:48-05:00,betrivers,h2h,2.6,1.5
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.6,1.5
0,2023-12-12 11:44:30-05:00,betparx,h2h,2.6,1.5
0,2023-12-12 11:43:37-05:00,windcreek,h2h,2.7,1.49
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.45,1.57
0,2023-12-12 11:44:46-05:00,espnbet,h2h,2.7,1.5
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.58,1.54
0,2023-12-12 11:43:27-05:00,lowvig,h2h,2.7,1.51
0,2023-12-12 11:43:55-05:00,betmgm,h2h,2.7,1.48
1,2023-12-12 11:44:33-05:00,fanduel,h2h,2.64,1.51
1,2023-12-12 11:44:09-05:00,draftkings,h2h,2.8,1.46
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.6,1.53
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.7,1.47
1,2023-12-12 11:44:46-05:00,superbook,h2h,2.7,1.5
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.7,1.49
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.7,1.51
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.75,1.49
1,2023-12-12 11:44:41-05:00,betus,h2h,2.7,1.5
1,2023-12-12 11:43:21-05:00,bovada,h2h,2.8,1.45
1,2023-12-12 11:44:48-05:00,betrivers,h2h,2.6,1.5
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.6,1.5
1,2023-12-12 11:44:30-05:00,betparx,h2h,2.6,1.5
1,2023-12-12 11:43:37-05:00,windcreek,h2h,2.7,1.49
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.45,1.57
1,2023-12-12 11:44:46-05:00,espnbet,h2h,2.7,1.5
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.58,1.54
1,2023-12-12 11:43:27-05:00,lowvig,h2h,2.7,1.51
1,2023-12-12 11:43:55-05:00,betmgm,h2h,2.7,1.48
2,2023-12-12 11:44:33-05:00,fanduel,h2h,2.64,1.51
2,2023-12-12 11:44:09-05:00,draftkings,h2h,2.8,1.46
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.6,1.53
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.7,1.47
2,2023-12-12 11:44:46-05:00,superbook,h2h,2.7,1.5
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.7,1.49
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.7,1.51
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.75,1.49
2,2023-12-12 11:44:41-05:00,betus,h2h,2.7,1.5
2,2023-12-12 11:43:21-05:00,bovada,h2h,2.8,1.45
2,2023-12-12 11:44:48-05:00,betrivers,h2h,2.6,1.5
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.6,1.5
2,2023-12-12 11:44:30-05:00,betparx,h2h,2.6,1.5
2,2023-12-12 11:43:37-05:00,windcreek,h2h,2.7,1.49
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.45,1.57
2,2023-12-12 11:44:46-05:00,espnbet,h2h,2.7,1.5
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.58,1.54
2,2023-12-12 11:43:27-05:00,lowvig,h2h,2.7,1.51
2,2023-12-12 11:43:55-05:00,betmgm,h2h,2.7,1.48
