Update,Time,Sportsbook,Type,Green Bay Packers,Carolina Panthers
0,2023-12-14 16:58:04-05:00,fanduel,h2h,1.43,2.9
0,2023-12-14 16:58:35-05:00,draftkings,h2h,1.43,2.9
0,2023-12-14 16:58:38-05:00,mybookieag,h2h,1.42,2.9
0,2023-12-14 16:58:37-05:00,sisportsbook,h2h,1.4,2.88
0,2023-12-14 16:57:28-05:00,tipico_us,h2h,1.45,2.9
0,2023-12-14 16:57:06-05:00,williamhill_us,h2h,1.43,2.92
0,2023-12-14 16:58:01-05:00,bovada,h2h,1.43,2.9
0,2023-12-14 16:57:34-05:00,betrivers,h2h,1.42,2.9
0,2023-12-14 16:58:07-05:00,unibet_us,h2h,1.42,2.9
0,2023-12-14 16:57:57-05:00,betparx,h2h,1.42,2.9
1,2023-12-14 17:27:48-05:00,fanduel,h2h,1.43,2.9
1,2023-12-14 17:28:31-05:00,draftkings,h2h,1.43,2.9
1,2023-12-14 17:29:04-05:00,mybookieag,h2h,1.42,2.9
1,2023-12-14 17:28:53-05:00,sisportsbook,h2h,1.4,2.88
1,2023-12-14 17:27:52-05:00,tipico_us,h2h,1.45,2.9
1,2023-12-14 17:28:08-05:00,williamhill_us,h2h,1.43,2.92
1,2023-12-14 17:28:40-05:00,bovada,h2h,1.43,2.9
1,2023-12-14 17:28:33-05:00,betrivers,h2h,1.42,2.9
1,2023-12-14 17:28:40-05:00,unibet_us,h2h,1.42,2.9
1,2023-12-14 17:27:56-05:00,betparx,h2h,1.42,2.9
