Update,Time,Sportsbook,Type,Jacksonville Jaguars,Tampa Bay Buccaneers
0,2023-12-14 16:58:04-05:00,fanduel,h2h,2.26,1.6800000000000002
0,2023-12-14 16:58:35-05:00,draftkings,h2h,2.2,1.7000000000000002
0,2023-12-14 16:58:38-05:00,mybookieag,h2h,2.2,1.71
0,2023-12-14 16:58:37-05:00,sisportsbook,h2h,2.2,1.71
0,2023-12-14 16:57:28-05:00,tipico_us,h2h,2.2,1.71
0,2023-12-14 16:57:06-05:00,williamhill_us,h2h,2.15,1.74
0,2023-12-14 16:58:01-05:00,bovada,h2h,2.2,1.71
0,2023-12-14 16:57:34-05:00,betrivers,h2h,2.2,1.6800000000000002
0,2023-12-14 16:58:07-05:00,unibet_us,h2h,2.2,1.6800000000000002
0,2023-12-14 16:57:57-05:00,betparx,h2h,2.2,1.6800000000000002
1,2023-12-14 17:27:48-05:00,fanduel,h2h,2.26,1.6800000000000002
1,2023-12-14 17:28:31-05:00,draftkings,h2h,2.2,1.7000000000000002
1,2023-12-14 17:29:04-05:00,mybookieag,h2h,2.2,1.71
1,2023-12-14 17:28:53-05:00,sisportsbook,h2h,2.2,1.71
1,2023-12-14 17:27:52-05:00,tipico_us,h2h,2.2,1.71
1,2023-12-14 17:28:08-05:00,williamhill_us,h2h,2.15,1.74
1,2023-12-14 17:28:40-05:00,bovada,h2h,2.2,1.71
1,2023-12-14 17:28:33-05:00,betrivers,h2h,2.2,1.6800000000000002
1,2023-12-14 17:28:40-05:00,unibet_us,h2h,2.2,1.6800000000000002
1,2023-12-14 17:27:56-05:00,betparx,h2h,2.2,1.6800000000000002
