Update,Time,Sportsbook,Type,Las Vegas Raiders,Kansas City Chiefs
0,2023-12-14 16:58:04-05:00,fanduel,h2h,4.85,1.2
0,2023-12-14 16:58:35-05:00,draftkings,h2h,4.8,1.2
0,2023-12-14 16:58:38-05:00,mybookieag,h2h,5.5,1.15
0,2023-12-14 16:58:37-05:00,sisportsbook,h2h,4.8,1.2
0,2023-12-14 16:57:28-05:00,tipico_us,h2h,4.8,1.21
0,2023-12-14 16:57:06-05:00,williamhill_us,h2h,4.6,1.21
0,2023-12-14 16:58:01-05:00,bovada,h2h,4.6,1.2
1,2023-12-14 17:27:48-05:00,fanduel,h2h,4.85,1.2
1,2023-12-14 17:28:31-05:00,draftkings,h2h,4.8,1.2
1,2023-12-14 17:29:04-05:00,mybookieag,h2h,5.5,1.15
1,2023-12-14 17:28:53-05:00,sisportsbook,h2h,4.8,1.2
1,2023-12-14 17:27:52-05:00,tipico_us,h2h,4.8,1.21
1,2023-12-14 17:28:08-05:00,williamhill_us,h2h,4.6,1.21
1,2023-12-14 17:28:40-05:00,bovada,h2h,4.6,1.2
2,2023-12-15 11:52:20-05:00,fanduel,h2h,4.4,1.23
2,2023-12-15 11:51:27-05:00,sisportsbook,h2h,4.7,1.2
2,2023-12-15 11:52:08-05:00,bovada,h2h,4.6,1.2
