Update,Time,Sportsbook,Type,Baltimore Ravens,San Francisco 49ers
0,2023-12-15 11:52:20-05:00,fanduel,h2h,1.43,2.9
0,2023-12-15 11:51:27-05:00,draftkings,h2h,1.49,2.7
0,2023-12-15 11:51:31-05:00,mybookieag,h2h,1.48,2.75
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,1.5,2.6
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,1.53,2.6
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,1.49,2.7
0,2023-12-15 11:52:08-05:00,bovada,h2h,1.5,2.7
0,2023-12-15 11:52:22-05:00,betrivers,h2h,1.48,2.7
0,2023-12-15 11:51:28-05:00,betparx,h2h,1.48,2.7
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,1.48,2.7
